Sp_Class  ,  u_mag  ,  g_mag  ,  r_mag  ,  i_mag  ,  z_mag ,RA,Dec
DC           ,19.881,19.79,19.865,20.093,20.284,146.415972,57.882461
DA           ,19.375,18.967,18.952,18.929,18.982,146.426135,60.989455
DA           ,19.862,19.36,19.208,19.184,19.271,146.473344,-0.584489
DA           ,19.862,19.36,19.208,19.184,19.271,146.473344,-0.584489
DA           ,20.57,20.482,20.84,21.143,21.956,146.492168,58.282492
DA           ,18.549,18.115,18.308,18.479,18.764,146.506959,2.133811
DA_auto      ,18.866,18.639,19.017,19.249,19.523,146.54101,4.015543
DA_auto      ,20.124,19.672,19.919,20.184,20.45,146.564425,51.77647
DA_auto      ,20.114,19.74,19.77,19.87,19.956,146.571097,10.001447
DA           ,17.873,17.395,17.409,17.444,17.537,146.601264,58.245946
DA_auto      ,19.101,19.016,19.291,19.565,19.859,146.617759,7.587961
DA           ,19.472,19.039,19.275,19.484,19.661,146.644724,59.075379
DA_auto      ,20.532,20.003,20.244,20.427,20.802,146.648093,45.609075
DA_auto      ,19.039,19.288,19.803,20.078,20.555,146.650597,9.077068
DA_auto      ,19.421,19.359,19.725,19.98,20.143,146.656503,7.07869
DA           ,20.695,20.248,20.348,20.332,20.586,146.658521,2.277854
DA           ,17.304,17.186,17.555,17.805,18.05,146.668132,1.222172
DA           ,17.304,17.186,17.555,17.805,18.05,146.668132,1.222172
DA           ,17.304,17.186,17.555,17.805,18.05,146.668132,1.222172
DA           ,20.052,19.739,20.017,20.187,20.326,146.674378,0.496471
DA_auto      ,19.617,19.123,19.007,18.986,19.049,146.706744,55.428057
DA           ,19.309,18.836,18.941,19.066,19.195,146.717528,63.311582
WD:+M        ,22.443,21.879,21.42,20.383,19.514,146.7187,0.123105
WD:+M        ,22.443,21.879,21.42,20.383,19.514,146.7187,0.123105
DA_auto      ,20.197,19.905,19.93,20.147,20.204,146.727079,34.786065
DA           ,17.691,17.986,18.406,18.729,19.207,146.733101,60.106508
DA:          ,20.251,20.273,20.633,20.878,21.111,146.776092,3.245455
DA_auto      ,19.922,19.481,19.45,19.633,19.8,146.784769,9.460688
DA           ,20.645,19.933,19.961,20.148,20.309,146.796189,0.416659
DA           ,20.177,19.748,19.886,20.047,20.185,146.796315,0.631835
DA           ,20.817,20.35,20.51,20.649,21.119,146.815269,0.067903
DA           ,19.166,18.672,18.542,18.545,18.659,146.8188,2.697374
DA_auto      ,17.944,17.962,18.382,18.682,18.954,146.830915,48.689735
DA_auto      ,19.66,19.455,19.765,20.024,20.266,146.831286,9.076772
DA+M:        ,18.109,18.528,18.958,18.991,19.103,146.83729,11.292986
DA_auto      ,19.899,19.399,19.555,19.72,19.984,146.838395,57.106428
DA           ,21.082,20.463,20.494,20.731,20.66,146.843816,1.239465
DA:          ,20.549,20.326,20.589,20.983,20.853,146.858807,3.064482
DB           ,19.299,19.376,19.666,19.904,20.284,146.859881,7.918527
DA_auto      ,20.702,20.252,20.466,20.712,20.441,146.881427,49.504109
DA_auto      ,18.315,17.906,18.026,18.195,18.376,146.885595,50.411981
DA           ,19.016,18.991,19.396,19.604,19.903,146.897374,2.141614
DA_auto      ,18.545,17.96,18.116,18.172,18.32,146.921199,10.274054
DA_auto      ,19.215,19.144,19.378,19.667,19.919,146.921638,34.698289
DZ           ,19.757,19.581,19.69,19.77,19.97,146.929568,42.64481
DA+M         ,17.438,17.044,17.133,16.68,16.095,146.935621,12.560561
DA_auto      ,20.297,20.143,20.554,20.846,21.003,146.936347,39.199089
DA           ,20.761,20.479,20.473,20.42,20.983,146.938938,2.407866
DC:          ,19.32,19.181,19.29,19.265,19.6,146.954997,44.674632
DB           ,20.034,19.953,20.192,20.463,20.575,146.95585,1.91719
DA_auto      ,20.598,20.379,20.689,20.937,20.944,146.981594,53.459674
DA:          ,20.344,20.47,20.801,21.109,22.918,146.983924,2.885114
DA_auto      ,19.855,19.761,20.156,20.427,20.594,146.988727,5.490887
DA_auto      ,19.071,18.947,19.28,19.53,19.867,146.989265,51.751941
DA_auto      ,17.693,17.832,18.277,18.638,18.94,146.997021,48.629371
DA           ,18.708,18.279,18.337,18.459,18.61,147.017911,-0.127269
DA           ,18.708,18.279,18.337,18.459,18.61,147.017911,-0.127269
DA_auto      ,20.17,19.709,19.787,19.796,19.886,147.061667,3.044003
DA_auto      ,20.174,19.736,19.84,20.034,20.353,147.063615,4.280171
DA_auto      ,18.984,18.625,18.857,19.074,19.327,147.082504,9.040588
DA+M         ,20.259,19.437,18.696,17.738,17.176,147.088792,36.993162
DA           ,20.477,20.071,20.334,20.549,21.093,147.091735,-0.077352
DA           ,20.477,20.071,20.334,20.549,21.093,147.091735,-0.077352
DA_auto      ,19.519,19.391,19.785,20.106,20.394,147.094917,35.508134
DA           ,20.229,19.97,20.292,20.457,20.402,147.096402,2.768502
DA           ,19.212,18.916,18.882,18.827,18.91,147.106486,2.45988
DBA          ,16.906,16.971,17.239,17.444,17.717,147.11006,4.12523
DA_auto      ,19.33,18.873,19.002,19.192,19.584,147.111986,48.827181
DA_auto      ,20.058,19.612,19.818,20.027,20.134,147.116066,9.131862
DB           ,19.065,19.024,19.144,19.319,19.543,147.122119,1.68402
DA_auto      ,18.803,18.462,18.751,18.98,19.161,147.125642,43.624885
DA           ,19.419,19.006,19.037,19.178,19.362,147.138517,63.694681
DA_auto      ,20.319,20.212,20.558,20.839,21.016,147.146011,10.716502
DA_auto      ,20.288,20.42,20.933,21.153,21.325,147.172685,38.91182
DA           ,18.04,17.683,17.867,18.062,18.315,147.18683,0.587977
DA           ,18.04,17.683,17.867,18.062,18.315,147.18683,0.587977
DA_auto      ,19.101,18.574,18.426,18.373,18.423,147.21256,52.8685
DA_auto      ,19.002,18.472,18.665,18.773,18.961,147.214243,51.413374
DA_auto      ,18.427,18.208,18.489,18.771,19.024,147.222222,3.085866
DA+M         ,17.498,17.814,18.027,17.661,17.356,147.224782,57.666058
DA+M         ,17.498,17.814,18.027,17.661,17.356,147.224782,57.666058
DQ:          ,18.623,18.274,18.135,18.12,18.273,147.241193,12.545293
DA+M         ,18.425,18.649,18.902,18.916,18.647,147.251151,1.796228
DA           ,16.937,16.513,16.637,16.809,17.001,147.25535,-0.319326
DA           ,16.937,16.513,16.637,16.809,17.001,147.25535,-0.319326
DA           ,16.659,16.42,16.687,16.877,17.152,147.269682,1.629216
DA_auto      ,19.926,19.49,19.778,20.077,20.258,147.300162,4.466697
DA+M         ,19.3,18.994,18.95,18.309,17.638,147.305696,3.381821
DA           ,19.279,18.799,18.934,19.102,19.285,147.321029,-0.006582
DA           ,19.279,18.799,18.934,19.102,19.285,147.321029,-0.006582
DA_auto      ,20.715,20.284,20.488,20.689,20.691,147.330267,39.570298
DA_auto      ,19.186,18.609,18.827,18.997,19.184,147.336216,44.462185
DA           ,19.471,19.185,19.442,19.611,19.76,147.36998,63.046046
DA_auto      ,17.908,17.471,17.649,17.829,18.066,147.371193,10.321902
DA+M:        ,18.071,17.614,17.733,17.801,17.654,147.397975,48.56811
DA_auto      ,16.454,16.787,17.301,17.642,17.934,147.418202,3.407081
DB           ,19.672,19.745,19.93,20.232,20.304,147.428282,44.489616
DA           ,20.977,20.48,20.559,20.748,21.861,147.431375,0.271944
DA_auto      ,20.546,20.044,20.287,20.51,21.062,147.435639,9.632456
DA_auto      ,18.848,18.494,18.531,18.624,18.777,147.448197,41.853686
DA_auto      ,18.588,18.128,18.178,18.318,18.527,147.467547,12.915086
DA+M         ,20.423,20.081,20.091,19.565,19.017,147.469732,1.434304
DA           ,20.451,20.225,20.554,20.637,21.139,147.483755,2.108304
DA_auto      ,20.235,19.846,19.987,20.11,20.439,147.494851,3.817961
DA           ,19.78,19.542,19.829,20.065,20.54,147.513237,0.664759
DA_auto      ,20.446,20.144,20.373,20.675,20.456,147.513959,7.928976
DA_auto      ,20.768,20.335,20.343,20.34,20.378,147.533624,38.728932
DA           ,20.071,19.571,19.689,19.845,19.908,147.551658,1.304567
DA_auto      ,18.252,17.895,18.054,18.156,18.464,147.561979,3.159877
DA_auto      ,19.606,19.493,19.779,20.174,20.557,147.576149,56.112067
DA_auto      ,19.716,19.639,19.872,20.191,20.519,147.610436,7.309856
DA_auto      ,20.688,20.251,20.453,20.608,20.924,147.612253,44.480185
DB           ,18.42,18.518,18.821,19.097,19.347,147.616131,0.093231
DA_auto      ,18.761,18.415,18.797,19.099,19.267,147.627008,38.953664
DA_auto      ,19.866,19.374,19.566,19.739,19.885,147.638773,40.43849
DA_auto      ,19.207,19.147,19.561,19.831,20.238,147.643064,56.460721
DB           ,18.776,18.79,18.976,19.178,19.457,147.647968,48.632968
DA_auto      ,19.968,19.697,19.971,20.145,20.254,147.666601,44.181522
DA           ,17.882,17.868,18.252,18.514,18.756,147.675495,1.257335
DA           ,17.882,17.868,18.252,18.514,18.756,147.675495,1.257335
DA           ,20.404,19.876,19.957,20.102,20.114,147.686348,58.576929
DB           ,20.271,20.342,20.563,20.699,21.241,147.694947,44.70297
DA_auto      ,18.451,18.014,18.095,18.206,18.372,147.698617,52.318913
DA_auto      ,20.134,19.784,19.738,19.779,19.711,147.710152,8.854528
DA           ,20.219,19.824,19.784,19.932,20.02,147.717633,0.80966
DA           ,18.601,18.154,18.146,18.16,18.238,147.722726,58.897433
DA           ,20.442,20.267,20.619,20.976,21.009,147.739238,60.072891
DB           ,15.47,15.598,15.95,16.157,16.449,147.759268,1.075699
DA_auto      ,20.397,20.208,20.528,20.819,21.316,147.773129,37.86189
DA+M         ,19.362,18.884,18.87,18.359,17.826,147.786417,2.918743
DBA+M        ,18.835,18.908,18.687,18.164,17.745,147.787425,4.100551
DA_auto      ,19.653,19.233,19.482,19.687,20.006,147.792053,47.915773
DA_auto      ,18.749,18.152,17.93,17.888,17.939,147.79383,10.153304
DA_auto      ,19.841,19.874,20.254,20.503,20.812,147.807843,10.24733
DA_auto      ,20.321,19.864,19.934,20.126,20.237,147.81768,9.644251
DZ           ,17.78,17.531,17.546,17.645,17.749,147.832739,40.556242
DA_auto      ,19.964,19.495,19.552,19.617,19.756,147.841923,48.723098
DA_auto      ,19.536,19.092,19.276,19.465,19.76,147.861604,39.649538
DA_auto      ,19.083,18.629,18.874,19.142,19.417,147.906007,55.326615
DQ           ,19.029,18.896,18.906,18.982,19.216,147.906687,62.730204
DB           ,18.076,18.208,18.482,18.779,19.069,147.924518,50.287728
DA_auto      ,18.885,18.864,19.285,19.558,19.864,147.93497,4.206681
DA           ,19.776,19.425,19.584,19.754,20.111,147.93974,56.271272
DA_auto      ,17.187,16.788,17.036,17.288,17.519,147.984003,8.159216
DBA          ,16.878,16.984,17.299,17.564,17.808,148.032854,9.164829
DA_auto      ,18.92,18.679,19.074,19.442,19.831,148.047687,56.505746
DA_auto      ,18.213,18.609,19.094,19.465,19.792,148.04986,11.556063
DA_auto      ,20.639,20.23,20.278,20.512,20.199,148.064421,8.857828
DA           ,19.453,18.964,19.014,19.187,19.301,148.085192,0.986996
DA_auto      ,20.792,20.159,20.443,20.68,20.709,148.098193,57.716819
DC           ,18.581,18.105,17.966,18.012,18.059,148.104752,6.041257
DA_auto      ,20.305,20.442,20.812,20.945,21.552,148.108396,9.224387
DA_auto      ,19.906,19.437,19.635,19.827,19.997,148.12462,7.853748
DA_auto      ,16.317,16.472,16.869,17.212,17.51,148.126817,11.700625
DA_auto      ,20.625,20.366,20.512,20.761,21.07,148.135672,9.796769
DA           ,20.505,20.266,20.561,20.737,21.893,148.181167,2.646616
DA           ,19.113,18.585,18.632,18.784,18.972,148.185876,58.808098
DA           ,19.113,18.585,18.632,18.784,18.972,148.185876,58.808098
DA           ,16.026,16.347,16.832,17.207,17.564,148.189942,2.16081
DA_auto      ,20.686,20.141,20.263,20.514,20.681,148.19022,54.519473
DA_auto      ,17.844,17.517,17.645,17.833,17.99,148.195254,43.410038
DA_auto      ,18.548,18.205,18.478,18.739,19.107,148.196086,49.348249
DA_auto      ,20.057,19.584,19.672,19.777,19.993,148.213928,35.451926
DA_auto      ,20.586,20.083,20.487,20.755,20.95,148.228884,51.907599
DA_auto      ,20.124,19.733,19.934,20.152,20.281,148.232765,43.593669
DA_auto      ,18.699,18.417,18.733,18.982,19.285,148.234244,42.504605
DB           ,17.292,17.496,17.849,18.156,18.451,148.236183,1.902138
DA_auto      ,18.278,17.806,17.74,17.749,17.89,148.241353,48.11794
DA_auto      ,19.161,18.685,18.876,19.015,19.295,148.262657,10.538981
DC:          ,20.577,20.134,20.024,20.003,19.987,148.265575,3.472933
DA_auto      ,17.26,16.967,17.231,17.481,17.801,148.278472,44.558584
DA_auto      ,19.251,18.891,18.87,18.881,19.016,148.28055,41.984045
DA_auto      ,19.185,19.198,19.502,19.833,20.141,148.283394,51.451744
DA+M         ,19.133,18.797,18.463,17.796,17.231,148.28601,48.229065
DA_auto      ,20.134,19.79,19.84,19.951,20.009,148.29772,44.930054
DA           ,19.437,19.439,19.833,20.136,20.239,148.304045,59.056875
DA:          ,20.767,20.365,20.158,20.105,20.2,148.307848,0.676847
DA_auto      ,19.481,19.277,19.585,19.849,20.162,148.314893,3.468367
DA_auto      ,16.811,17.136,17.666,17.998,18.364,148.371105,9.402666
DA           ,19.21,18.854,18.905,19.017,19.102,148.371656,-0.850184
DB           ,18.841,19.092,19.432,19.683,20.094,148.40825,49.577722
DA_auto      ,19.863,19.744,20.094,20.422,20.382,148.438487,50.830678
DB           ,20.127,20.21,20.384,20.608,20.393,148.445581,43.325641
DA_auto      ,20.504,19.944,20.047,20.124,20.188,148.466892,4.009486
DA_auto      ,20.189,20.336,20.767,21.061,21.227,148.469887,57.616742
DA_auto      ,20.172,19.616,19.859,20.157,20.537,148.473583,41.157623
DB           ,17.532,17.634,17.959,18.238,18.51,148.474645,7.712816
DA           ,19.657,19.275,19.305,19.415,19.689,148.47872,1.342638
DB           ,18.969,18.999,19.298,19.592,19.76,148.485932,41.447193
DA_auto      ,19.544,19.145,19.353,19.555,19.786,148.570328,42.876854
DA_auto      ,20.556,20.063,20.146,20.381,20.457,148.583626,10.98484
DB           ,17.637,17.729,18.03,18.289,18.527,148.609066,48.783473
DA_auto      ,19.251,18.793,18.744,18.826,18.879,148.618907,57.935733
DA           ,20.259,19.923,19.829,19.894,20.06,148.639446,59.487331
DZ           ,19.566,19.402,19.431,19.508,19.797,148.649403,56.588372
DA_auto      ,17.977,17.713,18.033,18.279,18.569,148.679655,54.166836
DA_auto      ,19.051,18.644,18.825,19.101,19.175,148.700323,41.300417
DA_auto      ,18.539,18.631,19.062,19.354,19.687,148.726856,55.297407
DB           ,18.115,18.183,18.538,18.78,19.047,148.729664,44.058429
DA_auto      ,17.991,17.694,18.032,18.305,18.575,148.749886,39.014566
DA_auto      ,18.602,18.544,18.874,19.125,19.327,148.760939,9.249806
DC:          ,19.68,19.409,19.59,19.733,19.52,148.776593,43.150761
DA           ,20.77,20.468,20.802,21.073,22.132,148.784187,54.825403
DA_auto      ,20.525,20.287,20.743,20.976,21.121,148.79317,3.43513
DA_auto      ,20.103,19.709,20.059,20.177,20.338,148.804973,10.276363
DA_auto      ,20.813,20.434,20.625,20.676,20.593,148.823397,57.501062
DA_auto      ,18.595,18.248,18.171,18.231,18.386,148.839007,39.364099
DA           ,19.808,19.747,20.121,20.391,20.585,148.858515,1.460519
DA           ,20.621,20.261,20.41,20.783,20.96,148.869572,0.669554
DA_auto      ,19.796,19.202,19.419,19.582,19.655,148.883905,4.354246
DA_auto      ,19.339,19.08,19.285,19.652,20.091,148.886994,44.856952
DA_auto      ,17.874,17.49,17.697,17.917,18.119,148.898326,50.336545
DA_auto      ,17.516,17.558,17.931,18.227,18.495,148.902567,4.186779
DA_auto      ,18.59,18.053,17.954,17.952,18.013,148.906293,50.935196
DA           ,19.322,19.448,19.858,20.208,20.914,148.906857,1.243722
DA           ,19.781,19.602,19.968,20.159,20.465,148.910288,64.008917
DA:          ,19.439,18.922,18.982,19.129,19.259,148.910938,35.752972
DA_auto      ,20.359,19.972,20.258,20.492,20.558,148.916397,7.264286
DA_auto      ,20.186,19.855,19.972,20.018,20.296,148.920843,42.241806
DA_auto      ,19.011,18.997,19.358,19.715,19.997,148.935004,37.148266
DA_auto      ,19.726,19.226,19.45,19.694,20.02,148.948165,60.101224
DA           ,19.875,19.618,19.946,20.126,20.233,148.950032,62.593848
DA_auto      ,20.874,20.508,20.78,21.131,21.066,148.969812,51.770782
DA_auto      ,20.112,19.79,20.108,20.378,20.612,148.973026,57.710183
DA           ,20.217,20.164,20.477,20.774,21.026,148.984084,64.157253
DA_auto      ,19.311,18.898,19.084,19.264,19.345,148.993729,3.185831
DA_auto      ,19.906,19.505,19.681,19.892,20.199,149.013744,54.151934
DA_auto      ,20.163,20.058,20.285,20.55,20.842,149.020375,42.428003
DA_auto      ,19.027,18.603,18.865,19.046,19.382,149.028526,57.456067
DA_auto      ,18.266,18.371,18.742,19.061,19.386,149.029695,39.895614
DA           ,21.074,20.44,20.59,20.737,21.307,149.03137,1.423932
DA_auto      ,19.872,19.512,19.743,19.978,20.171,149.039972,35.764189
DA_auto      ,18.842,18.491,18.713,19.002,19.226,149.045084,36.473084
DA_auto      ,20.894,20.352,20.465,20.572,20.695,149.063017,57.314985
DA_auto      ,20.461,20.251,20.531,20.91,20.996,149.105786,54.146761
DA           ,17.947,17.889,18.168,18.441,18.681,149.123877,64.241732
DA_auto      ,20.513,20.158,20.072,20.121,20.453,149.141076,44.825583
DA_auto      ,19.051,18.696,18.95,19.209,19.609,149.166367,8.531775
DA           ,19.834,19.558,19.841,20.042,20.287,149.178489,2.635675
DZA          ,18.96,18.382,18.394,18.545,18.732,149.18808,59.211285
DA           ,20.227,19.871,19.784,19.787,20.011,149.202282,2.034902
DB           ,20.361,20.484,20.785,21.021,21.225,149.206468,1.136792
DA           ,20.793,20.275,20.578,20.666,21.688,149.23296,2.8766
DA           ,20.172,20.186,20.532,20.7,21.249,149.241115,1.450297
DA           ,19.168,18.889,19.148,19.415,19.782,149.254585,1.659107
DA           ,19.605,19.76,20.149,20.416,20.462,149.272092,1.225291
DA+M:        ,20.628,20.278,20.499,20.716,21.204,149.273764,0.513022
DA+M         ,18.545,18.829,18.846,18.219,17.769,149.275025,61.881754
DA_auto      ,18.906,18.783,19.13,19.456,19.759,149.288935,57.284106
DA_auto      ,19.438,19.061,19.252,19.429,19.713,149.31639,50.23621
DA_auto      ,19.32,18.967,19.242,19.5,19.841,149.323493,9.051906
DA_auto      ,19.357,19.441,19.892,20.187,20.268,149.33579,45.114468
DA_auto      ,19.59,19.43,19.816,20.096,20.459,149.342158,53.697636
DC           ,18.437,17.926,17.823,17.798,17.844,149.343949,5.264765
DA_auto      ,18.711,18.304,18.596,18.779,18.966,149.345659,10.179711
DBA          ,17.626,17.741,18.004,18.245,18.511,149.346336,57.230624
DA+M         ,19.487,19.1,19.137,18.636,17.915,149.349281,2.12623
DA+M         ,19.487,19.1,19.137,18.636,17.915,149.349281,2.12623
DC:          ,20.201,19.992,19.983,19.985,19.941,149.380065,42.263477
DA_auto      ,18.497,18.371,18.7,18.949,19.165,149.404008,57.656111
DA_auto      ,18.197,18.423,18.939,19.246,19.615,149.485227,35.993421
DC+M         ,18.944,18.761,18.817,18.866,19.168,149.486708,36.245831
DA_auto      ,19.908,19.452,19.544,19.642,19.926,149.491804,4.181736
DA_auto      ,19.038,18.584,18.742,18.866,19.079,149.495272,57.608004
DA           ,18.184,17.736,17.645,17.617,17.676,149.496521,-1.118768
DA_auto      ,19.293,18.978,19.281,19.504,19.77,149.513696,42.452691
DA           ,16.42,16.491,16.859,17.138,17.411,149.544488,-1.071595
DA_auto      ,19.89,19.595,19.557,19.562,19.651,149.563391,53.59392
DA_auto      ,19.04,18.674,18.769,18.987,19.158,149.566317,36.425524
DA_auto      ,20.753,20.349,20.145,20.231,20.198,149.573183,2.676865
DB           ,18.945,19.089,19.37,19.693,20.121,149.582066,55.420636
DA_auto      ,20.098,19.799,20.128,20.38,20.862,149.590571,42.044617
DA_auto      ,19.41,19.171,19.503,19.698,20.197,149.615107,56.35062
DA_auto      ,18.522,18.239,18.528,18.774,19.065,149.631197,4.931998
DA           ,17.11,16.7,16.934,17.073,17.339,149.638051,1.513668
DA_auto      ,18.006,18.324,18.841,19.185,19.537,149.681163,1.991037
DA_auto      ,18.765,18.704,19.044,19.36,19.647,149.68797,36.473263
DA_auto      ,19.403,19.06,19.322,19.588,19.928,149.696267,43.053342
DA           ,19.335,19.207,19.532,19.825,20.038,149.704764,7.787906
DB           ,19.185,19.225,19.587,19.735,20.219,149.731557,43.341399
DB           ,19.42,19.505,19.837,20.073,20.538,149.733279,64.177554
DA           ,19.225,18.699,18.608,18.601,18.707,149.7606,45.186239
DA           ,18.384,17.982,18.141,18.359,18.514,149.761537,1.646722
DA_auto      ,19.063,18.928,19.215,19.411,19.771,149.819807,61.098882
DA_auto      ,20.734,20.315,20.487,20.707,20.84,149.822544,5.055146
DA_auto      ,19.104,19.016,19.376,19.64,19.843,149.831709,10.976974
DA_auto      ,20.654,20.262,20.574,20.539,20.591,149.832751,57.595252
DA_auto      ,17.849,18.186,18.699,19.043,19.434,149.860135,52.583098
DA           ,18.736,18.29,18.11,18.107,18.122,149.892705,2.960608
DQ           ,20.212,19.971,19.803,19.842,20.045,149.895621,45.623733
DA_auto      ,18.836,18.4,18.283,18.288,18.337,149.900812,3.830363
DA           ,18.605,18.169,18.326,18.485,18.732,149.904002,2.641249
DA_auto      ,19.227,18.984,19.309,19.58,19.775,149.907367,59.822753
DA           ,18.928,18.547,18.741,18.905,19.052,149.917654,0.609452
DA_auto      ,20.068,19.663,19.86,20.108,20.253,149.920519,52.631583
DA_auto      ,19.281,18.813,18.889,19.045,19.184,149.940686,3.448734
DA_auto      ,19.491,19.068,19.059,19.133,19.168,149.945138,3.360595
DC:          ,20.544,20.252,20.33,20.482,21.135,149.954538,53.946199
DA           ,18.834,19.113,19.679,20.105,20.163,149.965208,62.440744
DA_auto      ,19.128,18.657,18.702,18.809,19.063,149.977662,10.144344
DA_auto      ,19.462,18.988,18.988,19.106,19.243,149.980611,40.893928
DA:          ,20.375,20.028,20.034,20.062,20.306,150.023632,1.983079
DA+M         ,21.067,20.534,20.113,18.885,19.018,150.045198,8.720059
DB           ,19.076,19.14,19.413,19.656,19.867,150.049266,36.766202
DA+M:        ,20.178,20.121,20.189,19.692,19.145,150.059308,2.628364
DA+M         ,20.102,19.61,19.474,18.867,18.177,150.113571,11.027943
DA_auto      ,19.581,19.885,20.416,20.778,21.119,150.140244,47.903894
DA_auto      ,19.727,19.39,19.597,19.806,20.147,150.170648,43.060798
DA_auto      ,20.068,19.983,20.388,20.692,21.386,150.187508,44.679543
DA_auto      ,19.544,19.067,19.056,19.161,19.18,150.203402,10.584105
DA_auto      ,18.147,17.743,17.771,17.866,18.011,150.204973,12.526956
DA           ,19.564,19.325,19.678,19.971,20.112,150.207012,2.371399
DA_auto      ,20.518,19.972,20.008,20.216,20.36,150.236904,8.987183
DA_auto      ,19.712,19.568,19.869,20.201,20.322,150.246918,44.328897
DQ           ,19.365,19.305,19.168,19.226,19.25,150.249258,10.092144
DA+M:        ,20.638,20.188,20.231,20.21,19.733,150.253189,9.965317
DB           ,20.114,20.123,20.487,20.648,21.299,150.272586,56.865807
DA_auto      ,19.669,19.879,20.334,20.726,21.079,150.314109,4.176017
DA+M:        ,20.082,20.02,19.918,19.689,19.5,150.3229,2.165557
DC:          ,20.227,20.047,20.129,20.258,20.324,150.357905,4.136691
DA_auto      ,19.487,19.073,19.003,18.963,19.064,150.367953,41.833796
DA_auto      ,19.931,19.422,19.619,19.831,19.989,150.390831,44.148836
DA_auto      ,18.87,18.565,18.864,19.143,19.372,150.42373,46.754127
DA_auto      ,19.372,18.898,18.952,18.858,18.967,150.43006,10.755057
DA_auto      ,19.846,20.021,20.433,20.723,20.959,150.433496,0.62255
DA:          ,19.207,19.497,19.952,20.22,20.504,150.437663,36.715928
DA_auto      ,20.335,19.907,20.203,20.389,20.839,150.445242,37.203814
DB           ,18.131,18.124,18.376,18.556,18.774,150.485881,45.334519
DA_auto      ,20.19,19.619,19.774,19.961,20.273,150.50799,56.531703
DA_auto      ,17.008,16.595,16.851,17.067,17.328,150.51635,60.818441
DA+M         ,18.155,17.883,18.096,18.015,17.593,150.529087,43.924947
DA_auto      ,20.473,20.118,20.382,20.637,20.666,150.532072,7.514446
DB_A:        ,17.987,17.981,18.291,18.572,18.75,150.54016,3.890905
DA_auto      ,19.929,19.706,20.048,20.345,20.743,150.545278,37.237005
DA_auto      ,19.003,18.865,19.143,19.42,19.646,150.545297,2.972606
DA_auto      ,18.143,17.85,18.064,18.254,18.566,150.560802,1.140662
DA+M         ,20.363,20.117,20.146,19.57,18.943,150.573541,3.616642
DA_auto      ,18.75,18.578,18.901,19.18,19.363,150.596441,8.96009
DA_auto      ,18.559,18.02,18.092,18.266,18.41,150.629943,36.251012
DC:          ,20.634,20.477,20.46,20.561,21.222,150.640749,39.707959
DZ           ,19.102,18.952,19.064,19.209,19.31,150.655676,3.22378
DA_auto      ,18.744,18.264,18.465,18.662,18.874,150.660686,58.309981
DA_auto      ,19.377,19.213,19.544,19.836,20.107,150.662701,44.885878
DA_auto      ,20.903,20.378,20.475,20.748,20.755,150.667682,3.750079
DA_auto      ,19.996,19.479,19.348,19.307,19.295,150.678246,44.603829
DA_auto      ,19.325,18.91,18.999,19.088,19.384,150.68701,36.108244
DA_auto      ,18.916,18.919,19.318,19.585,20.019,150.749531,9.663899
DA_auto      ,20.657,20.211,20.16,20.293,20.195,150.757226,4.297055
DA_auto      ,18.918,18.757,19.139,19.501,19.675,150.762424,41.887325
DA_auto      ,19.285,18.937,18.846,18.799,18.925,150.769709,61.682741
DA+M         ,20.533,20.118,19.73,18.896,18.304,150.791893,4.185632
DA_auto      ,19.077,18.805,19.135,19.396,19.695,150.805198,56.202463
DA_auto      ,20.545,20.034,20.316,20.564,20.808,150.811955,38.243211
DA           ,15.988,15.935,16.252,16.556,16.847,150.818137,-0.3936
DA_auto      ,19.817,19.408,19.686,19.929,20.044,150.84897,1.698872
DA_auto      ,19.183,19.367,19.903,20.224,20.399,150.853645,37.35127
DB           ,20.461,20.514,20.76,21.054,20.807,150.866246,45.273743
DC           ,19.336,19.148,19.26,19.397,19.61,150.874141,44.671275
DA_auto      ,18.605,18.276,18.483,18.769,19,150.893409,10.632314
DA_auto      ,19.908,19.729,20.068,20.193,20.547,150.893642,0.480923
DA_auto      ,20.21,19.892,20.054,20.406,20.942,150.927049,42.515157
DA_auto      ,17.633,17.229,17.319,17.421,17.536,150.98443,54.017924
DH           ,17.963,18.118,18.48,18.649,18.904,150.984651,5.640452
DA           ,20.03,20.07,20.425,20.656,21.525,150.989847,5.1178
DA_auto      ,20.148,19.821,20.106,20.386,20.886,151.020986,1.795635
DZ           ,20.181,19.868,19.873,19.956,20.098,151.027681,42.530941
DA:+M        ,16.961,17.451,17.841,17.894,17.84,151.040651,47.088837
DA_auto      ,18.501,18.542,18.966,19.256,19.562,151.047782,39.207983
DA_auto      ,19.497,19.168,19.316,19.547,19.725,151.068049,7.09534
DA_auto      ,19.817,19.287,19.047,19.058,19.176,151.072705,10.87971
DA_auto      ,19.817,19.287,19.047,19.058,19.176,151.072705,10.87971
DA_auto      ,20.673,20.167,20.311,20.396,20.332,151.076758,4.780948
DA_auto      ,19.585,19.215,19.419,19.649,19.895,151.07746,5.006022
DA_auto      ,18.326,17.916,17.956,18.078,18.216,151.080659,4.732905
DZ           ,19.9,19.492,19.478,19.6,19.744,151.088556,4.854795
DA_auto      ,20.33,20.085,20.452,20.701,20.972,151.092821,44.326272
DA_auto      ,19.697,19.165,19.313,19.512,19.741,151.096347,9.160902
